ORDER ,SUBSET I,SUBSET II,Adults,Eggs,Larvae,Pupae,Nymphs,Early Instars,REGION,EUROPE,ASIA,NORTH AMERICA,SOUTH AMERICA,AFRICA,OCEANIA,METHOD,OTHER METHOD,SURVEY AREA SIZE,SURVEY DURATION,
Hemiptera,Heteroptera,Aphids,Y,N,N,N,N,N,UK; Ireland; Uganda mid tropics,Y,N,N,N,Y,N,"Active visual surveys, such as transect walks and hand netting;Beating sheet;Light trapping;Other;", ,"This will depend a great deal on the experimental design.
For suction sampling, I would take a series of 10 sub-samples equivalent to 0.2m2, which would constitute a single sample. Then a series of samples would be taken; 3, 5 or 10 per location, depending on the aim of the project. If a treatment comparison was being made, then the number of samples might be 3 or 5 per replicate treatment. If the aim was to gain species list then a larger number of samples would be taken (20-100+), ideally over a period of weeks and months, to take account of phenological changes.
Tree beating - I would select four points on a given tree and hold a net (approx 50 x 50 cm) under a suitable branch, then shake/beat vigorously for 1 minute.
Sweep netting - using a figure of 8 sweeping technique, I would take a sample base on 20 back and forth motions, whilst walking forward. The exact area sampled is hard to quantify accurately (although it can be estimated). Each would be a sample and I would apply the same number of samples as for suction sampling, above.
Light trapping - impossible to know the area of sampling.","Light trapping - typically I would run a light trap for 3-4 hours, and then spend 2 hours collecting.
Tree beating, sweep netting and suction sampling would all be done on a regular basis over a period of weeks, and preferably months. Depending of logistical constraints, such as travel to and between locations, I would sample 1 or two days per week. In the UK I would do so from start of April to end of Sept, to take account of phenological changes.", 
Lepidoptera,,,Y,N,N,N,N,N,Cyprus,Y,N,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"With this survey, probably I will use transect walk. Minimum of 1 km. Depending on habitat and location can be 2 km. ","If it is around 1 km, my pollard walk survey may take 50 min 
I think probably, we will discuss how often I need to do...Once a week or each two weeks may be.
And of course, I think we need to discuss for how long we will carry out the surveys.", 
Coleoptera,"Lampyridae, ",fireflies; glow-worm,Y,N,Y,N,N,N,"US, Taiwan",N,Y,N,Y,N,N,"Active visual surveys, such as transect walks and hand netting;Other;","Can also obtain flash counts from timelapse photography, videography",really depends on the habitat type and species present -- could be a 120m strip along the forest edge or a ~20 square meter patch of wetlands or field... when checking what species are present (not measuring abundance of particular species) I usually walk a kilometer or so over 1-2 hours,two hours per night over a 2-3 week reproductive season, 
Lepidoptera,,Butterflies,Y,N,Y,N,N,N,Czech Republic,Y,N,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,10-20 ha per plot,15-30 minutes per plot, 
Hymenoptera,,Bees,Y,N,Y,N,N,N,"North America, Asia (China and India especially), ",Y,N,N,N,N,N,"Pan trapping;Active visual surveys, such as transect walks and hand netting;Malaise trapping;Light trapping;", ,Depends on project. Often opportunistic for phylogenetics unless for specific ecological projects.,Depends on project again. Too highly variable to give a number. , 
Hymenoptera,Formicidae,,Y,N,N,N,N,N,Brazil,N,N,N,Y,N,N,Pitfall trapping;Beating sheet;, ,"depending on the focus of the study. 
250 meters transects. With traps each 25 meters",48 hours, 
Coleoptera,,saproxylic beetles,Y,N,N,N,N,N,Belgium,Y,N,N,N,N,N,"Pan trapping;Pitfall trapping;Active visual surveys, such as transect walks and hand netting;Other;",Flight interception trap = window trap; pheromone trap,"pan trap, pitfall trap, flight interception trap: single tree (100m2) to forest (100ha)
transects: 500m representing 1km²
visual survey: forest (100ha) or smaller
pheromone trap: 3 traps representing 1km²
","pan trap, pitfall trap, flight interception trap: 2 weeks up to 5 months (full season)
transects: half an hour, 6 times per season
visual survey: half a day, repeatedly in the season
pheromone trap: 3 days up to 2.5 months (full season of particular species)", 
Hymenoptera,,Bees; hoverflies,Y,N,N,N,N,N,"UK, Greece, Israel, Egypt, Ghana, Kenya, Uganda, Costa Rica",Y,Y,N,Y,Y,N,"Pan trapping;Active visual surveys, such as transect walks and hand netting;", ,"Transects: various depending upon the application, ranging from 1m2 fixed focal observation plots, through to walked transects (usually 1 to 3m wide and anything from 50 to 1000m long) 

Pan trapping: this is not an area-based but an activity-based method, so hard to answer, but it might cover a few m2 to a few 100m2 depending upon the taxa and local context","Transects: various depending upon the application, ranging from 10mins to 60mins, with one or more repeat observations in a day, in a season or across multiple years
 
Pan trapping: various but usually a minimum of 6hours ranging up to 2 days, with one or more repeat observations in a season or across multiple years", 
Diptera,,,Y,N,N,N,N,N,"UK, Greece, Israel, Egypt, Ghana, Kenya, Uganda, Costa Rica",Y,Y,N,Y,Y,N,,,,,
Lepidoptera,,,Y,N,N,N,N,N,"UK, Greece, Israel, Egypt, Ghana, Kenya, Uganda, Costa Rica",Y,Y,N,Y,Y,N,,,,,
Odonata,,,Y,N,Y,N,N,N,USA & Canada,N,N,Y,N,N,N,"Pitfall trapping;Active visual surveys, such as transect walks and hand netting;Other;",Exuvial surveys for Odonata,"Highly variable and none is ""typical""; from roadsides (e.g., Lepidopera: <100 m transect) to portions of waterbodies (e.g., Odonata: 100m-1km shoreline transects) to larger targeted habitats such as bogs and barrens (e.g., both Orders: 0.1 Ha to 5 Ha).  ","Highly variable and none is ""typical""; five minutes for incidental presence/absence roadside surveys to more comprehensive (diversity & relative abundance) surveys requiring 4 hrs or more.", 
Lepidoptera,,,Y,N,Y,N,N,N,USA & Canada,N,N,Y,N,N,N,,,,,
Lepidoptera,,Moths,Y,N,N,N,N,N,"Australia, Malaysia, France, China",Y,Y,N,N,N,Y,Light trapping;Other;,Termite transects,8 light traps a night x 20m radius light trap (approx.),months, 
Isoptera,,,Y,N,N,N,N,N,"Australia, Malaysia, France, China",N,Y,N,N,N,Y,,,,,
Orthoptera,,,Y,N,Y,N,N,N,"Russia, Kazakhstan, Kyrgyzstan, Uzbekistan, Turkmenistan, Tajikistan, China (Xinjiang), USA, Poland",Y,Y,Y,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"transects - 25-50 sq m, sweep netting or netting during a fixed period of time - about 100-400 sq m","transects  - 10-20 min, netting - 15-60 min per one habitat", 
Lepidoptera,,Diurnal butterflies,Y,N,N,N,N,N,Spain,Y,N,N,N,N,N,"Active visual surveys, such as transect walks and hand netting;", ,"Transects around 1,5 km long (taking into account a band 5 meters wide, that would be an area of 7500 m2)","I survey from May to September each year, every 10 days in two sites and between mid June and mid August in four sites (that will do 38 visits per year, around 2 hours each visit = 76 hours/season). I also coordinate BMS monitoring of my team (around 10 people) and volunteers in the region (around 8 people).", 
Lepidoptera,,,Y,Y,Y,Y,Y,Y,"Czechia, Slovakia",Y,N,N,N,N,N,"Light trapping;Active visual surveys, such as transect walks and hand netting;Malaise trapping;", ,faunistic square,from 15 min for tansect to 1 hour on zig-zag survey, 
Coleoptera,,Ground Beetles,Y,N,N,N,N,N,UK and Malaysia ,Y,Y,N,N,N,N,"Pitfall trapping;Beating sheet;Active visual surveys, such as transect walks and hand netting;", ,"Pitfall Trapping: 0.5 - 5 hectares
Beating Sheet: 0.5 - 2 hectares
Visual Surveys: 0.5 - 2 hectares","Pitfall Trapping: 48 - 72 hours
Beating Sheet: 45 minutes - 3 hours (per session)
Visual Surveys: 10 minutes - 1 hour (per trap/ transect)", 
Hymenoptera,Formicidae,Ants,Y,N,N,N,N,N,UK and Malaysia ,Y,Y,N,N,N,N,,,,,
Archaeognatha,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Zygentoma,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Dermaptera,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Blattodea,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Psocoptera,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Thysanoptera,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Hemiptera,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Coleoptera,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Isoptera,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Neuroptera,Complete Order,,Y,N,N,N,N,N,"Azores, Portugal",Y,N,N,N,N,N,Malaise trapping;Pitfall trapping;Beating sheet;Other;,"SLAM Trap (Sea, Land and Air Malaise traps)",50x50 m Plots for SLAM traps; 150 x 5 m transects for Pitfall and Beating,SLAM trap (3 months period); Pitfall (14 days period); Beating (30 samples in 2 hours), 
Orthoptera,,,Y,N,N,N,Y,Y,Italy,Y,N,N,N,N,N,"Beating sheet;Acoustic monitoring;Active visual surveys, such as transect walks and hand netting;", ,500 square meters,"1 hour each, usually more on acoustic monitoring.", 
Coleoptera,Scolytidae,,Y,N,N,N,N,N,"Germany, Austria, Portugal",Y,N,N,N,N,N,Other;Pitfall trapping;,"Formicidae: standardised baits, mostly using a sugar solution; Scolytidae: traps baited with semiochemicals (pheromones, attractants, repellents)","The area surveyed depends on the objectives of the project. Example: we have surveyed Formicidae in Portugal, covering about half of the country, at each site approximately one hectare.  Regarding Scolytidae, we generally survey plots of forest plantations, that is hectares.","Formicidae: i) Surveys with pitfall traps: days, repeated over weeks/months; ii) Surveys with
 baits: hours, repeated over days/weeks; Scolytidae: days, repeated over weeks/months.", 
Hymenoptera,Formicidae,,Y,N,N,N,N,N,"Portugal, Spain; ",Y,N,N,N,N,N,,,,,
Lepidoptera,,,Y,N,N,N,N,N,Romania,Y,N,N,N,N,N,"Light trapping;Active visual surveys, such as transect walks and hand netting;", ,"For transect walks and hand netting i usually use 1 km transect, divided in 10 transect 100 meters each. For light traps it depends on what exactly i am studying. If i want to see rhe differences between different types of land management (agriculture, mowing, pasturing, etc), i will use a minimum of 5 traps for each type of land use. ","For night traps, from dawn to sunrise. The number of hours depend on the season. A 1 km transect takes around 1 hour. ", 
Lepidoptera,,Fruit-feeding butterflies,Y,N,N,N,N,N,Brazil,N,N,N,Y,N,N,"Active visual surveys, such as transect walks and hand netting;Other;",Bait trapping (Van Someren-Rydon traps),"That depends very much on how many plots we put in. But if the question is about a single sampling plot, I ususally put in traps along 250 m transects -- that would sample an area of around 250 m², considering a plot o 1 m wide and 250 m long. Surveys with hand netting are conducted in the same transects, so they cover the same area.","Baiting traps (6 consecutive days)
Hand nets (30 minutes * 4 days = 2 hours)", 
Isoptera,,,Y,N,N,N,N,N,Nigeria ,N,N,N,N,Y,N,"Pitfall trapping;Active visual surveys, such as transect walks and hand netting;", ,Square metres,2-8 hours, 
Hymenoptera,,,Y,N,N,N,N,N,Nigeria ,N,N,N,N,Y,N,"Pitfall trapping;Active visual surveys, such as transect walks and hand netting;",,,,
Coleoptera,,,Y,N,N,N,N,N,Nigeria ,N,N,N,N,Y,N,"Pitfall trapping;Active visual surveys, such as transect walks and hand netting;",,,,
Plecoptera, ,,Y,N,N,N,Y,Y,South Africa,N,N,N,N,Y,N,Malaise trapping;Light trapping;Other;,Aquatic Sampling with a Kick Net,"Malaise Traps: Sample in the area immediately surrounding a river. Usually within 10m of the river. 
Light Traps: Sample in the area immediately surrounding a river. Usually within 5m of the river. 
Aquatic Sampling with Kick net: Sample within a stretch of river, usually covering all available biotopes (E.g.: Riffles, Marginal Vegetation, etc.). This would usually cover a 10-20m stretch of river. ","Malaise Traps: Minimum of 24 hours, but generally a few days if possible. 1-5 days. 
Light Traps: Overnight, roughly 12 hours. 
Aquatic Sampling: 1-2 hours per site. ", 
Diptera,,,Y,N,N,N,N,N,"France, Thailand",Y,Y,N,N,N,N,Other;,Sampling in pitfall flowers or specific homemade traps for Drosophilidae,"Mainly forests or parks, about 5 square meters or more","Sampling in pitfall flowers: 1/2 day
Sampling with specific Drosophilidae traps: 24h", 
Hymenoptera,Formicidae,,Y,N,N,N,N,N,"Indonesia, Mozambique, Madagascar, Papua New Guinea",N,Y,N,N,Y,Y,"Pitfall trapping;Other;Active visual surveys, such as transect walks and hand netting;","Baiting (e.g. with food), soil monoliths",10 hectares,"Baiting, monoliths, active searching - hours
Pitfall trapping - days", 
Odonata,,,Y,N,N,N,N,N,UK.,Y,N,N,N,N,N,"Light trapping;Beating sheet;Active visual surveys, such as transect walks and hand netting;", ,Up to 1 Hectare.,"Beating Sheet - 1 hour.
Light trapping - overnight on separate nights.
Visual survey - 4 hours.", 
Orthoptera,,,Y,N,N,N,N,N,UK.,Y,N,N,N,N,N,,,,,
Lepidoptera,,,Y,N,N,N,N,N,UK.,Y,N,N,N,N,N,,,,,
Orthoptera,,Grasshoppers; Crickets.,Y,N,N,N,Y,Y,UK ,Y,N,N,N,N,N,"Beating sheet;Acoustic monitoring;Active visual surveys, such as transect walks and hand netting;", ,"beating (for Orthoptera nymphs and earwigs) a total of 30 minutes at each site, 40 locations beaten in this time roughly, each location 5 strikes of a branch or foliage. 

Gardiner T (2010) Hedgerow species richness influences the presence of Orthoptera and Dermaptera along green lanes in Essex, U.K. Entomologist’s Gazette 61: 53–64.

acoustic monitoring and visual surveys (Orthoptera):  A 1-m wide × 400-m long transect was established in fields in recent study. Transects were arranged in a W shape (each arm 100 m) to ensure even coverage of each field and avoid any edge habitat effects. Each transect was walked at a slow, strolling pace (2 km/hr) on 3 occasions from May–August 2021. Adult individuals of all Orthoptera species along all transects were recorded acoustically and visually to determine assemblage composition and species diversity and richness. Nymphs flushed from a 1-m wide band in front of the observer were recorded along all transects. As it is difficult to distinguish between species in the early instars (though not impossible, see Thommen 2021), numbers for nymphs of all species were lumped together for recording purposes. The surveys were undertaken in vegetation sufficiently short (<50 cm) to minimize the possibility of overlooking nymphs in tall grass or non-stridulating species such as groundhoppers (Tetrigidae). With practice, it was relatively easy to ascertain the species of adults without capture (Gardiner and Hill 2006), although some species, such as long-winged conehead Conocephalus fuscus and Roesel’s bushcricket Roeseliana roeselii, are significantly under-recorded using visual transects. A dual visual and acoustic monitoring method has been used by Weiss et al. (2013) to ensure complete coverage of the orthopteran fauna of sites. In the current study, a stridulation monitoring technique was used to record adult males of species that stridulated along the transects at the same time as visual monitoring by flushing. Stridulation monitoring has been used to record cryptic species in Essex and has been found to be effective compared to visual sighting transects and pitfall traps. Bat detectors were not required in the current study as the surveyor was able to reliably detect stridulating males up to 20 m away either side of the transect. The weather conditions on survey days were favourable for insect activity, being largely sunny and warm (>17°C). 

Gardiner T, Casey D (2022) ﻿Orthoptera in the early stages of post-arable rewilding in south-east England. Journal of Orthoptera Research 31(2): 163-172. https://doi.org/10.3897/jor.31.82317

visual surveys (Hymenoptera)

Bumblebee monitoring: In sea wall grasslands, 100 m long x 6 m wide transects were established. The methodology for surveying bumblebees followed that of Carvell et al. (2007). Surveys were undertaken between 10:00 and 17:00 h, when weather conditions conformed to the
following criteria for the UK Butterfly Monitoring Scheme: 1) transects were not walked when the temperature is below 13°C; 2) between 13-17 °C, a transect could be walked providing there is at least 60% sun; 3) above 17 °C, a transect could be walked in any conditions, providing it is not raining; 4) when wind speeds are above 5 on the Beaufort scale, transects were not walked (Pollard & Yates 1993).

Gardiner T. & Fargeaud K. (2018) The effect of late cutting on bumblebees (Bombus spp.) in sea wall
grassland. Aspects of Applied Biology, 139, 43-50.","beating: 30 minutes per site 
acoustic and visual surveys: 2-3 hours at each site in the different habitats. Depends on complexity of site.  ", 
Dermaptera,,,Y,N,N,N,Y,Y,UK ,Y,N,N,N,N,N,,,,,
Hymenoptera,,,Y,N,N,N,Y,Y,UK ,Y,N,N,N,N,N,,,,,
Coleoptera,,Glow worms,Y,N,N,N,Y,Y,UK ,Y,N,N,N,N,N,,,,,
Lepidoptera,,Butterflies,Y,N,N,N,Y,Y,UK ,Y,N,N,N,N,N,,,,,
Blattodea,Blaberoidea,Except termites,Y,N,N,N,Y,Y,Peru; Guyana,N,N,N,Y,N,N,"Pitfall trapping;Active visual surveys, such as transect walks and hand netting;Light trapping;", ,"Light trap: 1 light sheet in an open field (~1 hectare) once night per week on average.
Pitfall trap: I make sets composed of 6 baited traps along a line  2-3 meters apart from each other. I usually put two or three sets in each habitat type (usually ~1 km apart from each other)",Minimum of 2 to a maximum of 8 days. On average 3 days., 
Diptera,,Mosquitoes; Vector species,Y,Y,Y,Y,Y,Y,"UK, Ireland, South Africa",Y,N,N,N,Y,N,Other;,"Methods for aquatic systems, e.g., kick sampling, netting","Typically small areas, i.e., 1 square meter zones of waters; however, this does not necessarily reflect volume in habitats such as rivers",Typically 15 minutes or below, 
Coleoptera,Histeridae ,,Y,N,N,N,N,N,India ,N,Y,Y,N,N,N,"Active visual surveys, such as transect walks and hand netting;Other;Pitfall trapping;",Manual collection ,Hectare ,From 1 hours to 4 hours , 
Orthoptera,,,Y,N,N,N,Y,Y,"Mexico, USA, South Africa, Namibia, Mozambique.",Y,N,Y,Y,Y,N,"Light trapping;Active visual surveys, such as transect walks and hand netting;Beating sheet;Other;",Sweeping net,Approximately 100 m2.,Approximately 2 hours., 
Hymenoptera,,,Y,N,N,N,N,N,Nepal,N,Y,N,N,N,N,"Pan trapping;Active visual surveys, such as transect walks and hand netting;", ,25*50 m,1 hours 30 min, 
